start_time,end_time,direction,src,dst,sid,user,logon_id,pid,server_name,target_info,outcome,protocol,events,providers
2025-03-20T08:17:22.265776,2025-03-20T08:17:22.265776,inbound,HOSTNAME,HOSTNAME2.DOMAIN,,domain\USER01,0x48E9A13,,,,,RDP,4624,Microsoft-Windows-Security-Auditing
2024-11-14T13:51:31.703758,2024-11-14T13:51:31.703758,inbound,10.124.4.44,HOSTNAME2.domain,,\user2@domain.,,,,,,RDP,1149,Microsoft-Windows-TerminalServices-RemoteConnectionManager
2023-09-29T10:56:46.226458,2023-09-29T10:56:46.226458,inbound,,HOSTNAME2,,DOMAIN\Administrator,,,,,,RDP,41,Microsoft-Windows-TerminalServices-LocalSessionManager
2023-09-29T10:56:48.421135,2023-09-29T10:56:48.617293,inbound,HOSTNAME07.DOMAIN,HOSTNAME2.DOMAIN,,DOMAIN\Administrator,,,,,,RDP,21;22,Microsoft-Windows-TerminalServices-LocalSessionManager;Microsoft-Windows-TerminalServices-LocalSessionManager
2023-09-29T12:03:08.976345,2023-09-29T12:03:08.976345,inbound,,DOMAIN.HOSTNAME2,,,,,,,,RDP,40,Microsoft-Windows-TerminalServices-LocalSessionManager
2024-07-23T09:22:37.978958,2024-07-23T09:22:37.978958,inbound,10.124.4.45,HOSTNAME2.DOMAIN,,DOMAIN\user2,,,,,,RDP,25,Microsoft-Windows-TerminalServices-LocalSessionManager
2024-07-23T09:42:37.978958,2024-07-23T09:22:37.978958,inbound,10.124.4.45,HOSTNAME2.DOMAIN,,DOMAIN\user36,,,,,,RDP,25,Microsoft-Windows-TerminalServices-LocalSessionManager
2024-07-23T09:52:37.978958,2024-07-23T09:22:37.978958,inbound,10.124.4.45,HOSTNAME2.DOMAIN,,DOMAIN\user88,,,,,,RDP,25,Microsoft-Windows-TerminalServices-LocalSessionManager
2025-06-02T09:05:27.021545,2025-06-02T09:05:27.021545,inbound,10.124.4.45:65172,HOSTNAME2.DOMAIN,,,,,,,,RDP,131,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
2025-06-02T09:05:29.360327,2025-06-02T09:05:29.360327,inbound,,HOSTNAME2.DOMAIN,,,,,,,,RDP,98,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
2025-03-17T10:12:08.360959,2025-03-17T10:12:08.360959,outbound,HOSTNAME.DOMAIN,,,DOMAIN\USER03,,0x2F50,HOSTNAME3.domain,HOSTNAME3.domain,,RDP,4648,Microsoft-Windows-Security-Auditing
2025-04-18T14:07:21.924288,2025-04-18T14:07:21.924288,outbound,HOSTNAME2.DOMAIN,HOSTNAME04,S-1-5-21-4444444444-444444398-652140456-1256,,,,HOSTNAME04,,,RDP,1024,Microsoft-Windows-TerminalServices-ClientActiveXCore
2025-04-18T14:07:40.253379,2025-04-18T14:07:40.253379,outbound,HOSTNAME2.DOMAIN,HOSTNAME05,S-1-5-21-4444444444-444444398-652140456-1256,,,,HOSTNAME05,,,RDP,1024,Microsoft-Windows-TerminalServices-ClientActiveXCore
2025-04-18T14:07:55.917681,2025-04-18T14:07:55.917681,outbound,HOSTNAME2.DOMAIN,10.144.5.20,S-1-5-21-4444444444-444444398-652140456-1256,,,,10.144.5.20,,,RDP,1102,Microsoft-Windows-TerminalServices-ClientActiveXCore
2025-08-27T12:46:00.896656,2025-08-27T12:46:00.896656,outbound,HOSTNAME06.DOMAIN,HOSTNAME07.domain,S-1-5-21-4444444444-444444398-652140456-1777,,,14324,,,,Powershell Remoting,6,Microsoft-Windows-WinRM
2025-08-27T12:46:00.972487,2025-08-27T12:46:00.972487,inbound,10.144.4.28,HOSTNAME07.DOMAIN,S-1-5-21-4444444444-444444398-652140456-1777,DOMAIN\USER15,,18428,,,,Powershell Remoting,91,Microsoft-Windows-WinRM
2025-08-27T12:46:00.972487,2025-08-27T12:46:00.972487,inbound,10.144.4.28,HOSTNAME06.DOMAIN,S-1-5-21-4444444444-444444398-652140456-1777,DOMAIN\USER15,,18728,,,,Powershell Remoting,91,Microsoft-Windows-WinRM
2025-08-27T12:46:00.972487,2025-08-27T12:46:00.972487,inbound,10.144.4.28,HOSTNAME06.DOMAIN,S-1-5-21-4444444444-444444398-652140456-1790,DOMAIN\USER17,,21428,,,,Powershell Remoting,91,Microsoft-Windows-WinRM
2025-06-02T09:05:29.360327,2025-06-02T09:05:29.360327,inbound,HOSTNAME06.DOMAIN,HOSTNAME07.DOMAIN,,,,,,,,RDP,98,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
2025-06-02T09:05:29.360327,2025-06-02T09:05:29.360327,inbound,10.144.4.28,,,,,,,,,RDP,98,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
2025-06-02T10:05:29.360327,2025-06-02T09:05:29.360327,inbound,HOSTNAME06.DOMAIN,10.144.4.28,,,,,,,,RDP,98,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
2025-06-02T10:05:29.360327,2025-06-02T09:05:29.360327,outbound,HOSTNAME06.DOMAIN,10.144.4.28,,,,,,,,RDP,6,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
