RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
234456,234456,2025-03-20 08:17:22.2657761,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,988,5012,HOSTNAME.domain,3086,,Successful logon,domain\HOSTNAME$,HOSTNAME (10.1.2.91),Target: domain\USER01,LogonType 10,LogonId: 0x48E9B13,AuthenticationPackageName: Negotiate,"LogonProcessName: User32 ",,C:\Windows\System32\svchost.exe,False,E:\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""HOSTNAME$""},{""@Name"":""SubjectDomainName"",""#text"":""domain""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-1002228000-324244242-50536000-11795""},{""@Name"":""TargetUserName"",""#text"":""USER01""},{""@Name"":""TargetDomainName"",""#text"":""domain""},{""@Name"":""TargetLogonId"",""#text"":""0x48E9A13""},{""@Name"":""LogonType"",""#text"":""10""},{""@Name"":""LogonProcessName"",""#text"":""User32 ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""HOSTNAME""},{""@Name"":""LogonGuid"",""#text"":""aaaaaaaa-a321-f834-62fa-m7aef9d3430a""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0xD1C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""IpAddress"",""#text"":""10.1.2.91""},{""@Name"":""IpPort"",""#text"":""0""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""%%1843""},{""@Name"":""RemoteCredentialGuard"",""#text"":""%%1843""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x48EA008""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
122,122,2024-11-14 13:51:31.7037587,1149,Info,Microsoft-Windows-TerminalServices-RemoteConnectionManager,Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational,1212,14020,HOSTNAME2.domain,0,S-1-5-20,RDP network connection established,\user2@domain.,10.124.4.44,,,,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""Param1"":""user2@domain."",""Param2"":"""",""Param3"":""10.124.4.44""}}}"
38,38,2023-09-29 10:56:46.2264585,41,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,1104,4116,HOSTNAME2,0,S-1-5-18,RDP Begin session arbitration,,,Target: DOMAIN\Administrator,Session ID: 1,,,,ActivityID: 61a55000-55e5-1017-0000-000000000000,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""DOMAIN\\Administrator"",""SessionID"":""1""}}}"
40,40,2023-09-29 10:56:48.4211357,21,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,1104,4116,HOSTNAME2,0,S-1-5-18,Remote Desktop Services: Session logon succeeded,DOMAIN\Administrator,LOCAL,Session ID: 1,,,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""DOMAIN\\Administrator"",""SessionID"":""1"",""Address"":""LOCAL""}}}"
41,41,2023-09-29 10:56:48.6172931,22,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,1104,5160,HOSTNAME2,0,S-1-5-18,Remote Desktop Services: Shell start notification received,DOMAIN\Administrator,LOCAL,,,,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""DOMAIN\\Administrator"",""SessionID"":""1"",""Address"":""LOCAL""}}}"
51,51,2023-09-29 12:03:08.9763452,40,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,1108,1368,DOMAIN.HOSTNAME2,S-1-5-18,"Session (PayloadData1) has been disconnected, reason code (PayloadData2)",,,Session: 1,Reason: The disconnection was initiated by the user disconnecting his or her session on the server or by an administrative tool on the server,,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""Session"":""1"",""Reason"":""11""}}}"
60,60,2024-07-23 09:22:37.9789582,25,Info,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,1108,6360,HOSTNAME2.DOMAIN,0,S-1-5-18,Remote Desktop Services: Session reconnection succeeded,DOMAIN\user2,10.124.4.45,Session ID: 3,,,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx,0x1000000000000000,0,"{""UserData"":{""EventXML"":{""User"":""DOMAIN\\user2"",""SessionID"":""3"",""Address"":""10.124.4.45""}}}"
8821,8821,2025-06-02 09:05:27.0215450,131,Info,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational,1212,2376,HOSTNAME2.DOMAIN,5,S-1-5-20,RDP server accepted a new TCP connection,,10.124.4.45:65172,Connection Type: TCP,,,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-RemoteDesktopServices-RdpCoreTS%4Operational.evtx,0x4000000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""ConnType"",""#text"":""TCP""},{""@Name"":""ClientIP"",""#text"":""10.124.4.45:65172""}]}}"
8836,8836,2025-06-02 09:05:29.3603277,98,Info,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational,1212,2404,HOSTNAME2.DOMAIN,5,S-1-5-20,Successful RDP Connections,,,"Path: ","ScriptBlockText: ",,,,,,False,C:\Windows\System32\winevt\Logs\Microsoft-Windows-RemoteDesktopServices-RdpCoreTS%4Operational.evtx,0x4000000000000000,0,"{""EventData"":""""}"
2137,2137,2025-03-12 14:21:25.5688447,4648,LogAlways,Microsoft-Windows-Security-Auditing,Security,888,1000,HOSTNAME.domain,2,,A logon was attempted using explicit credentials,DOMAIN\HOSTNAME$,-:-,Target: Font Driver Host\UMFD-0,TargetServerName: localhost,PID: 0x2CC,TargetInfo: localhost,,,C:\Windows\System32\wininit.exe,False,C:\Windows\System32\winevt\logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""HOSTNAME$""},{""@Name"":""SubjectDomainName"",""#text"":""DOMAIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserName"",""#text"":""UMFD-0""},{""@Name"":""TargetDomainName"",""#text"":""Font Driver Host""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetServerName"",""#text"":""localhost""},{""@Name"":""TargetInfo"",""#text"":""localhost""},{""@Name"":""ProcessId"",""#text"":""0x2CC""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\wininit.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
